
Circuit: *mat_array_06_11_13_58_58_591.cir


Circuit: *mat_array_06_11_13_58_58_591.cir
Date: Tue Jun 11 13:58:58  2019


Operating point information:

	Node	Voltage
	----	-------
	i_44	0.000000e+00
	i_35	0.000000e+00
	i_27	0.000000e+00
	i_20	0.000000e+00
	i_14	0.000000e+00
	i_9	0.000000e+00
	i_5	0.000000e+00
	i_2	0.000000e+00
	colc_8	0.000000e+00
	colc_7	0.000000e+00
	colc_6	0.000000e+00
	colc_5	0.000000e+00
	colc_4	0.000000e+00
	colc_3	0.000000e+00
	colc_2	0.000000e+00
	colc_1	0.000000e+00
	memrcol161	-1.54602e-13
	memrcol143	1.471418e-12
	memrcol126	1.445285e-12
	memrcol110	-1.52636e-12
	memrcol95	-1.74716e-12
	memrcol81	2.494543e-13
	memrcol68	-2.99680e-13
	memrcol56	2.676191e-12
	memrrow162	-1.60069e+00
	memrrow145	4.158258e+00
	memrrow129	-4.20653e+00
	memrrow114	3.500677e+00
	memrrow100	-1.56486e+00
	memrrow87	3.139714e+00
	memrrow75	2.353444e+00
	memrrow64	3.837483e+00
	memrcol144	-1.54602e-02
	memrrow144	-1.60069e+00
	memrcol127	1.471418e-01
	memrrow127	-1.75921e+00
	memrcol111	1.445285e-01
	memrrow111	-1.91831e+00
	memrcol96	-1.52636e-01
	memrrow96	-2.28369e+00
	memrcol82	-1.74716e-01
	memrrow82	-2.86217e+00
	memrcol69	2.494543e-02
	memrrow69	-3.44105e+00
	memrcol57	-2.99680e-02
	memrrow57	-4.02098e+00
	memrcol46	2.676191e-01
	memrcol128	1.276027e-01
	memrrow128	4.158258e+00
	memrcol112	2.948543e-01
	memrrow112	4.158862e+00
	memrcol97	4.953406e-01
	memrrow97	4.160623e+00
	memrcol83	-9.21678e-02
	memrrow83	4.162751e+00
	memrcol70	-3.49029e-01
	memrrow70	4.165517e+00
	memrcol58	5.092858e-02
	memrrow58	4.168734e+00
	memrcol47	3.391647e-01
