
Circuit: *mat_array.cir


Circuit: *mat_array.cir
Date: Tue Mar 12 10:59:35  2019


Operating point information:

	Node	Voltage
	----	-------
	i_560	0.000000e+00
	i_527	0.000000e+00
	i_495	0.000000e+00
	i_464	0.000000e+00
	i_434	0.000000e+00
	i_405	0.000000e+00
	i_377	0.000000e+00
	i_350	0.000000e+00
	i_324	0.000000e+00
	i_299	0.000000e+00
	i_275	0.000000e+00
	i_252	0.000000e+00
	i_230	0.000000e+00
	i_209	0.000000e+00
	i_189	0.000000e+00
	i_170	0.000000e+00
	i_152	0.000000e+00
	i_135	0.000000e+00
	i_119	0.000000e+00
	i_104	0.000000e+00
	i_90	0.000000e+00
	i_77	0.000000e+00
	i_65	0.000000e+00
	i_54	0.000000e+00
	i_44	0.000000e+00
	i_35	0.000000e+00
	i_27	0.000000e+00
	i_20	0.000000e+00
	i_14	0.000000e+00
	i_9	0.000000e+00
	i_5	0.000000e+00
	i_2	0.000000e+00
	colc_32	0.000000e+00
	colc_31	0.000000e+00
	colc_30	0.000000e+00
	colc_29	0.000000e+00
	colc_28	0.000000e+00
	colc_27	0.000000e+00
	colc_26	0.000000e+00
	colc_25	0.000000e+00
	colc_24	0.000000e+00
	colc_23	0.000000e+00
	colc_22	0.000000e+00
	colc_21	0.000000e+00
	colc_20	0.000000e+00
	colc_19	0.000000e+00
	colc_18	0.000000e+00
	colc_17	0.000000e+00
	colc_16	0.000000e+00
	colc_15	0.000000e+00
	colc_14	0.000000e+00
	colc_13	0.000000e+00
	colc_12	0.000000e+00
	colc_11	0.000000e+00
	colc_10	0.000000e+00
	colc_9	0.000000e+00
	colc_8	0.000000e+00
	colc_7	0.000000e+00
	colc_6	0.000000e+00
	colc_5	0.000000e+00
	colc_4	0.000000e+00
	colc_3	0.000000e+00
	colc_2	0.000000e+00
	colc_1	0.000000e+00
	memrcol2177	5.161287e-15
	memrcol2111	5.160968e-15
	memrcol2046	5.160198e-15
	memrcol1982	5.158708e-15
	memrcol1919	5.156099e-15
	memrcol1857	5.151832e-15
	memrcol1796	5.145234e-15
	memrcol1736	5.135489e-15
	memrcol1677	5.121643e-15
	memrcol1619	5.102598e-15
	memrcol1562	5.077112e-15
	memrcol1506	5.043802e-15
	memrcol1451	5.001145e-15
	memrcol1397	4.947481e-15
	memrcol1344	4.881022e-15
	memrcol1292	4.799862e-15
	memrcol1241	4.701993e-15
	memrcol1191	4.585323e-15
	memrcol1142	4.447708e-15
	memrcol1094	4.286986e-15
	memrcol1047	4.101018e-15
	memrcol1001	3.887746e-15
	memrcol956	3.645260e-15
	memrcol912	3.371879e-15
	memrcol869	3.066243e-15
	memrcol827	2.727427e-15
	memrcol786	2.355067e-15
	memrcol746	1.949508e-15
	memrcol707	1.511961e-15
	memrcol669	1.044683e-15
	memrcol632	5.511673e-16
	memrcol596	3.633576e-17
	memrrow2178	5.144743e-03
	memrrow2113	1.029243e-02
	memrrow2049	1.544589e-02
	memrrow1986	2.060771e-02
	memrrow1924	2.578010e-02
	memrrow1863	3.096479e-02
	memrrow1803	3.616287e-02
	memrrow1744	4.137467e-02
	memrrow1686	4.659964e-02
	memrrow1629	5.183612e-02
	memrrow1573	5.708128e-02
	memrrow1518	6.233087e-02
	memrrow1464	6.757911e-02
	memrrow1411	7.281846e-02
	memrrow1359	7.803946e-02
	memrrow1308	8.323054e-02
	memrrow1258	8.837779e-02
	memrrow1209	9.346482e-02
	memrrow1161	9.847254e-02
	memrrow1114	1.033790e-01
	memrrow1068	1.081592e-01
	memrrow1023	1.127849e-01
	memrrow979	1.172249e-01
	memrrow936	1.214444e-01
	memrrow894	1.254055e-01
	memrrow853	1.290672e-01
	memrrow813	1.323856e-01
	memrrow774	1.353141e-01
	memrrow736	1.378044e-01
	memrrow699	1.398067e-01
	memrrow663	1.412711e-01
	memrrow628	1.426464e-01
	memrcol2112	5.161287e-03
	memrrow2112	5.144743e-03
	memrcol2047	5.160968e-03
	memrrow2047	5.143089e-03
	memrcol1983	5.160198e-03
	memrrow1983	5.139646e-03
	memrcol1920	5.158708e-03
	memrrow1920	5.134149e-03
	memrcol1858	5.156099e-03
	memrrow1858	5.126195e-03
	memrcol1797	5.151832e-03
	memrrow1797	5.115251e-03
	memrcol1737	5.145234e-03
	memrrow1737	5.100649e-03
	memrcol1678	5.135489e-03
	memrrow1678	5.081589e-03
	memrcol1620	5.121643e-03
	memrrow1620	5.057138e-03
	memrcol1563	5.102598e-03
	memrrow1563	5.026237e-03
	memrcol1507	5.077112e-03
	memrrow1507	4.987700e-03
	memrcol1452	5.043802e-03
	memrrow1452	4.940222e-03
	memrcol1398	5.001145e-03
	memrrow1398	4.882386e-03
	memrcol1345	4.947481e-03
	memrrow1345	4.812674e-03
	memrcol1293	4.881022e-03
	memrrow1293	4.729482e-03
	memrcol1242	4.799862e-03
	memrrow1242	4.631135e-03
	memrcol1192	4.701993e-03
	memrrow1192	4.515915e-03
	memrcol1143	4.585323e-03
	memrrow1143	4.382088e-03
	memrcol1095	4.447708e-03
	memrrow1095	4.227938e-03
	memrcol1048	4.286986e-03
	memrrow1048	4.051810e-03
	memrcol1002	4.101018e-03
	memrrow1002	3.852165e-03
	memrcol957	3.887746e-03
	memrrow957	3.627634e-03
	memrcol913	3.645260e-03
	memrrow913	3.377092e-03
	memrcol870	3.371879e-03
	memrrow870	3.099734e-03
	memrcol828	3.066243e-03
	memrrow828	2.795161e-03
	memrcol787	2.727427e-03
	memrrow787	2.463479e-03
	memrcol747	2.355067e-03
	memrrow747	2.105403e-03
	memrcol708	1.949508e-03
	memrrow708	1.722360e-03
	memrcol670	1.511961e-03
	memrrow670	1.316603e-03
	memrcol633	1.044683e-03
	memrrow633	8.913098e-04
	memrcol597	5.511673e-04
	memrrow597	4.506793e-04
	memrcol562	3.633576e-05
	memrcol2048	1.032423e-02
	memrrow2048	1.029243e-02
	memrcol1984	1.032372e-02
	memrrow1984	1.028925e-02
	memrcol1921	1.032245e-02
	memrrow1921	1.028263e-02
	memrcol1859	1.031987e-02
	memrrow1859	1.027202e-02
	memrcol1798	1.031519e-02
	memrrow1798	1.025662e-02
	memrcol1738	1.030732e-02
	memrrow1738	1.023537e-02
	memrcol1679	1.029493e-02
	memrrow1679	1.020692e-02
	memrcol1621	1.027637e-02
	memrrow1621	1.016968e-02
	memrcol1564	1.024974e-02
	memrrow1564	1.012176e-02
	memrcol1508	1.021283e-02
	memrrow1508	1.006105e-02
	memrcol1453	1.016316e-02
	memrrow1453	9.985152e-03
	memrcol1399	1.009796e-02
	memrrow1399	9.891458e-03
	memrcol1346	1.001417e-02
	memrrow1346	9.777114e-03
	memrcol1294	9.908443e-03
	memrrow1294	9.639064e-03
	memrcol1243	9.777199e-03
	memrrow1243	9.474077e-03
	memrcol1193	9.616597e-03
	memrrow1193	9.278777e-03
	memrcol1144	9.422593e-03
	memrrow1144	9.049695e-03
	memrcol1096	9.190969e-03
	memrrow1096	8.783324e-03
	memrcol1049	8.917394e-03
	memrrow1049	8.476187e-03
	memrcol1003	8.597490e-03
	memrrow1003	8.124931e-03
	memrcol958	8.226921e-03
	memrrow958	7.726418e-03
	memrcol914	7.801503e-03
	memrrow914	7.277855e-03
	memrcol871	7.317337e-03
	memrrow871	6.776928e-03
	memrcol829	6.770973e-03
	memrrow829	6.221959e-03
	memrcol788	6.159594e-03
	memrrow788	5.612089e-03
	memrcol748	5.481249e-03
	memrrow748	4.947468e-03
	memrcol709	4.735101e-03
	memrrow709	4.229470e-03
	memrcol671	3.921730e-03
	memrrow671	3.460908e-03
	memrcol634	3.043457e-03
	memrrow634	2.646264e-03
	memrcol598	2.104704e-03
	memrrow598	1.791900e-03
	memrcol563	1.112383e-03
	memrrow563	9.062565e-04
	memrcol529	7.630509e-05
	memrcol1985	1.549035e-02
	memrrow1985	1.544589e-02
	memrcol1922	1.548993e-02
	memrrow1922	1.544145e-02
	memrcol1860	1.548869e-02
	memrrow1860	1.543215e-02
	memrcol1799	1.548582e-02
	memrrow1799	1.541721e-02
	memrcol1739	1.548013e-02
	memrrow1739	1.539540e-02
	memrcol1680	1.547001e-02
	memrrow1680	1.536512e-02
	memrcol1622	1.545342e-02
	memrrow1622	1.532435e-02
	memrcol1565	1.542792e-02
	memrrow1565	1.527067e-02
	memrcol1509	1.539063e-02
	memrrow1509	1.520127e-02
	memrcol1454	1.533824e-02
	memrrow1454	1.511293e-02
	memrcol1400	1.526702e-02
	memrrow1400	1.500205e-02
	memrcol1347	1.517277e-02
	memrrow1347	1.486469e-02
	memrcol1295	1.505089e-02
	memrrow1295	1.469651e-02
	memrcol1244	1.489634e-02
	memrrow1244	1.449290e-02
	memrcol1194	1.470369e-02
